measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,112,Grenada,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2021,4.223853853304729,5.0145407883082935,3.4973494174994015
1,Deaths,8,Taiwan (Province of China),3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,378.482348532612,406.75644298090344,344.6660076943738
1,Deaths,95,United Kingdom of Great Britain and Northern Ireland,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2021,2537.200012839576,2908.704703199823,2254.922245017641
1,Deaths,175,Republic of Burundi,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2021,0.09563248553034032,0.6639242422924599,0.010690620051625365
1,Deaths,61,Republic of Moldova,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,320.6661009221197,361.6406665100436,283.9782751595273
1,Deaths,33,Republic of Armenia,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,30.460544164493967,35.23846574980287,26.764208516285315
1,Deaths,178,State of Eritrea,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,99.71372095212129,135.07303227345903,67.12861146805483
1,Deaths,128,Republic of Guatemala,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2021,133.86280509987566,179.74283331490682,95.1141365759074
1,Deaths,98,Republic of Chile,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2021,247.86322169130526,324.44659187279916,178.17693818364003
1,Deaths,98,Republic of Chile,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,229.6635725161599,245.54492822303914,214.73910371050147
1,Deaths,33,Republic of Armenia,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2021,67.87625197702738,90.76259931273036,50.89020661069621
1,Deaths,143,Republic of Iraq,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,1.1522860283150398,1.6580813560220666,0.6492050510611839
1,Deaths,81,Federal Republic of Germany,3,Both,22,All ages,524,Cirrhosis due to alcohol,1,Number,2021,7708.626771619001,9003.738067576005,6373.305318481449
1,Deaths,130,United Mexican States,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2021,1005.4469852393058,1206.2204169233146,818.9967067428819
1,Deaths,393,Saint Kitts and Nevis,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2021,0.7749789896759015,1.0238655800182248,0.5290947665904624
1,Deaths,77,Republic of Cyprus,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2021,23.757340802054845,35.053496027272935,15.833519706367866
1,Deaths,77,Republic of Cyprus,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,8.473882493011262,10.955465119035278,6.117177138113475
1,Deaths,145,State of Kuwait,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2021,2.6261467690848797,3.9191378136234323,1.702986573128133
1,Deaths,145,State of Kuwait,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,2.56274920183595,3.206701624152975,2.0998981138309656
1,Deaths,41,Republic of Uzbekistan,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,217.29206092735748,255.7110064876348,182.04565824364042
1,Deaths,207,Republic of Ghana,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2021,46.22354478456879,112.53245650354658,7.392473909729574
1,Deaths,30,Republic of Vanuatu,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2021,0.11529272085405592,0.2331838225221241,0.019871492529118174
1,Deaths,18,Kingdom of Thailand,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2021,3618.1229871534165,5262.0229267431505,2371.867576778518
1,Deaths,113,Republic of Guyana,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,17.43965459917283,22.954156658027483,12.869634356393528
1,Deaths,8,Taiwan (Province of China),3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2021,86.24682171012351,97.0643270463429,76.14650156089913
1,Deaths,145,State of Kuwait,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2021,4.073430231724965,5.5874903130505125,2.743699477021154
1,Deaths,41,Republic of Uzbekistan,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2021,1.2306220889491102,1.7218191837555914,0.8767496551188235
1,Deaths,193,Republic of Botswana,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2021,0.0400474752094659,0.16350896935515324,0.007248264142197099
1,Deaths,413,Tokelau,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2021,0.009164088434980885,0.015797257724882798,0.00498033518619839
1,Deaths,194,Kingdom of Lesotho,3,Both,22,All ages,524,Cirrhosis due to alcohol,1,Number,2021,90.55452836092896,131.3675692031796,55.04428639070095
1,Deaths,208,Republic of Guinea,3,Both,22,All ages,524,Cirrhosis due to alcohol,1,Number,2021,353.0209357911639,539.6017868566644,212.55431606778333
1,Deaths,63,Ukraine,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,5111.731700851904,6961.165825481351,3595.0341067674544
1,Deaths,17,Democratic Socialist Republic of Sri Lanka,3,Both,22,All ages,524,Cirrhosis due to alcohol,1,Number,2021,807.4482883722827,1246.5238940894142,460.5224987673587
1,Deaths,178,State of Eritrea,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2021,0.05242505306498493,0.31840552922724846,0.008803770552888722
1,Deaths,48,Hungary,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2021,147.3804198625311,194.24212171510007,109.01861495597113
1,Deaths,34,Republic of Azerbaijan,3,Both,22,All ages,524,Cirrhosis due to alcohol,1,Number,2021,1039.4249225113376,1395.6509697042811,732.7742001704003
1,Deaths,18,Kingdom of Thailand,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2021,26.94779843082829,49.39614457262087,2.436028189565053
1,Deaths,98,Republic of Chile,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2021,38.96071425520523,44.59546605119679,33.25214099306135
1,Deaths,208,Republic of Guinea,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,101.94839793154858,142.01899448112218,63.656988062322256
1,Deaths,176,Union of the Comoros,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,10.043866271146264,15.547647897729071,6.396719137024137
1,Deaths,146,Lebanese Republic,3,Both,22,All ages,524,Cirrhosis due to alcohol,1,Number,2021,32.888180730584146,51.03882045820298,20.371772579040044
1,Deaths,143,Republic of Iraq,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2021,1.6277554127172595,3.0005757750334676,0.1473462901441796
1,Deaths,393,Saint Kitts and Nevis,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2021,1.5087182954309408,2.061201961391124,1.1512107908661442
1,Deaths,163,Republic of India,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2021,9305.243598224955,11430.312870939119,7647.946281793831
1,Deaths,179,Federal Democratic Republic of Ethiopia,3,Both,22,All ages,524,Cirrhosis due to alcohol,1,Number,2021,2675.9157279045207,3405.781908219315,2054.2166128707286
1,Deaths,61,Republic of Moldova,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2021,217.76039451285126,258.5456633331459,177.76878659441863
1,Deaths,51,Republic of Poland,3,Both,22,All ages,420,Liver cancer due to alcohol use,1,Number,2021,576.0359389799588,646.8955749315645,503.41326327023614
1,Deaths,17,Democratic Socialist Republic of Sri Lanka,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,217.91742893148967,385.5780188346575,128.6812361158748
1,Deaths,121,Plurinational State of Bolivia,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,277.7025245794251,400.244967952369,182.76868549351514
1,Deaths,129,Republic of Honduras,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,360.63499805026794,534.8052756683607,238.05007375568874
1,Deaths,63,Ukraine,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2021,8622.787081452181,11465.301738050317,6123.401396453334
1,Deaths,144,Hashemite Kingdom of Jordan,3,Both,22,All ages,524,Cirrhosis due to alcohol,1,Number,2021,24.17171144559188,38.60192981317185,14.230359633470641
1,Deaths,146,Lebanese Republic,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,4.5336790113505385,5.857633885309351,3.1507375875447106
1,Deaths,77,Republic of Cyprus,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2021,5.066061601302548,9.769397559915092,1.1239783358401807
1,Deaths,88,Republic of Malta,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,2.4752017094321315,2.7752749908311944,2.199410076865566
1,Deaths,129,Republic of Honduras,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2021,14.65839693690538,29.311655605882247,2.430282976479643
1,Deaths,97,Argentine Republic,3,Both,22,All ages,524,Cirrhosis due to alcohol,1,Number,2021,1825.6543274947223,2280.7735221765693,1378.9183774133799
1,Deaths,195,Republic of Namibia,3,Both,22,All ages,524,Cirrhosis due to alcohol,1,Number,2021,90.08836993473308,133.0759821098635,57.15932607760088
1,Deaths,298,American Samoa,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,0.536434203462417,0.704337635307339,0.35278021563382767
1,Deaths,51,Republic of Poland,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2021,1795.5671632228746,2084.9425247753766,1499.093064105196
1,Deaths,88,Republic of Malta,3,Both,22,All ages,938,Alcoholic cardiomyopathy,1,Number,2021,1.6350277659487218,1.919422002577687,1.3696397050624196
1,Deaths,78,Kingdom of Denmark,3,Both,22,All ages,524,Cirrhosis due to alcohol,1,Number,2021,337.50429795327096,400.76139471129517,278.5430602986684
1,Deaths,18,Kingdom of Thailand,3,Both,22,All ages,524,Cirrhosis due to alcohol,1,Number,2021,5357.504831933804,7517.503049146533,3494.821737460494
1,Deaths,99,Eastern Republic of Uruguay,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2021,85.52799017136942,91.766099966353,79.33581669843771
1,Deaths,209,Republic of Guinea-Bissau,3,Both,22,All ages,524,Cirrhosis due to alcohol,1,Number,2021,68.12692543106353,103.7416590040638,40.35235417073975
